inputAddr,outputAddr1,outputAddr2,inputBTC,outputBTC1,outputBTC2,peeling ratio,TxTime,Fee,Address Type,,,,,,,,,,,,
1AXJQNW3pvUFZJ1Zz6YZN2nX7Zqv16bvc8,3CzrsusySX7WhTRYDHsJ8Le6PdFVPRk9M1,17qJEPMs826KWY6TTgzaSAT7D4inEs8qZm,0.39213995,0.17688267,0.21466189,1.213583501424984 : 1,2017-07-09 18:58,59539,P2PKH,,,,,,,,,,,,
1NGkygvpksRsGtmvAUYFUKnTWZXTwRgNQ2,1PmA2y8RWNP9ggYW8NWBEmYoH8hAP1iSPW,1HRRxsvf8xLtETYMLBnKRLSsTpiiQu3duA,1.89039888,0.55123656,1.33875298,2.428636046926931 : 1,2017-07-13 17:35,40934,P2PKH,,,,,,,,,,,,
1A7WfZasYHr6WSFj6dfyX4bieUaE5ieaj6,1L6UjBd1pd482WeUvyqigLZaDGUgrzbAUR,1EWbZ4nLVt2y6Z5d1xUF52Jy55cb5xbmAN,95.43614648,12.59951754,82.83595094,6.574533562655765 : 1,2017-08-25 20:27,67800,P2PKH,,,,,,,,,,,,
14bNuG4WhpCjHr9XtsbEQK6dBk3seMebm7,18QGLeGPvpNUxi2tAsXy9793BeU5C4LVma,14Thy9dziBMxYs63HJ36uN6uivYnSM7oUv,27.14394942,24.74692503,2.39634639,10.326939850294346 : 1,2017-08-28 22:56,67800,P2PKH,,,,,,,,,,,,
1BQJCBerMaXvkYf7LhfZzQFRwL378AbZJ1,15CpMTQ6N1Hpf87RyPPzjGyPpo1kBFtFgQ,15Ujwt7E7RpUudZCmG2pjC7Y4NramfNUUB,3.96697887,1.12720771,2.83932229,2.518898925913131 : 1,2017-07-10 21:10,44887,P2PKH,,,,,,,,,,,,
1JeyB3sWmT6TGaZ8U9RuNXHpwg63r7cDYy,1E4WZV3HeacTnAwBQFMcJ4RyW59otsMEYc,19p2fNr63Fk4wAG5UqXj3bHMA6g1k32XVP,1.32425275,0.24774062,1.07606332,4.3435078187824026 : 1,2017-07-24 0:48,44881,P2PKH,,,,,,,,,,,,
1BNfYazKV3duhWAs5mNEnH6GiwwZBY5Wwp,18Qs2ZPpLwkLrBvRggCR9GfjAccZtj2YBA,1NgNctLnSAa6eHCETq21XookkTgXfqra45,13.33032061,0.26044437,13.06919824,50.18038301231085 : 1,2017-08-31 15:31,67800,P2PKH,,,,,,,,,,,,
19JTyZxsm6dxXu8TWXNFDg4CrajMPaNJzB,1PAD35bvv81DYaD7Lmkntu8SwBBMqhDqdX,1M3CuMywXDLp8JLaq9hHA1rxptgNLpjDhy,180.0826895,2.43706296,177.6450615,72.8930948464294 : 1,2017-08-14 19:13,56500,P2PKH,,,,,,,,,,,,
1Da94D4irVrNH5Jnn4mS8avr8YnxMoVQ9t,12BRtpmnc8GThGZEYBGY92Ns9yfFEdXXLV,1NYZrWeSV5uunVKqhT3mLrRjV4hS7dT54x,4.66464768,0.83,3.83408268,4.619376722891566 : 1,2017-08-19 8:23,56500,P2PKH,,,,,,,,,,,,
19hB3FNcNJftmiv97RHEX45uU5enX4YNbD,1C647DUt2P3yB3DUbJG4ru5c6AibRu8LGu,13KsN6nNxVUf5T9a4qdZJx6Fm67sfztp64,0.29905,0.167598,0.131,1.2793740458015266 : 1,2017-08-23 17:11,45200,P2PKH,,,,,,,,,,,,
13AtePqJz4Zb6KCMXHQmAGN6Sj9VSGEjy2,3CzrsusySX7WhTRYDHsJ8Le6PdFVPRk9M1,1NbjnWsEg8fCxk6CVQ5cJmSA3io52DXrHU,3.88064683,1.2265071,2.65342037,2.163395849889495 : 1,2017-07-07 16:57,71936,P2PKH,,,,,,,,,,,,
1GhJSgenMKdn7dsFZzQX7w6nwtP2ctRCvE,174xDhEjkyWyHCsz2TMf4gZ6PrQ4BVgu4Y,19BpD2r4oMbjXRX89Bi99ZSiqHL53CMzkY,1.91898473,0.66768462,1.25089205,1.8734774061442363 : 1,2017-07-11 23:03,40806,P2PKH,,,,,,,,,,,,
1GycaisKAnNkjUEkWmPASFqjRZWrWGD8dr,1Bu7KQtVmE2mpZz1uSQwKyC5zm1LW2eHhw,1BCC9yvzGAn75BEH3Y3yf7QDAjjcg1ehWu,3.77064244,1.18489132,2.58502898,2.181659141532069 : 1,2017-06-21 19:12,72214,P2PKH,,,,,,,,,,,,
1BbxdHHshgNftHoAY4mXyf5WnLRRHBMSvL,1LJFXRYU6qRQmVE1jg5whFsY97PMbsgZQH,18E8QMoKBskbzPQEANJHeFWKoBfxwhVGBA,4.21597602,1.27253671,2.9425584,2.3123563955966344 : 1,2017-07-13 17:59,88091,P2PKH,,,,,,,,,,,,
1AwLNkkx6q3RCw2PKoEJkQ19qjAzc2dG6N,1GjewDTfJdARXWWMmbAeeJPNGAVJsyuAK5,1BiBddSVHHkj5kYuUVAhpsrP7zZh1nTVBK,1.71756381,0.80475742,0.9121417,1.1334368311882108 : 1,2017-07-04 20:56,66469,P2PKH,,,,,,,,,,,,
13z1yCnQVzoCpLeP8DostUTcK1jX2F8Lzm,12w4P9P3CVPoYCDJGj18gHjXUGf2rTkpu7,12A28MuCvWLzzo5NKm9dXgnfLoJCZa1fct,24.30585779,24.16326342,0.14214237,169.9933905703134 : 1,2017-08-28 14:37,45200,P2PKH,,,,,,,,,,,,
1Noob6fgYAke5TLpSpCaS91o56Kyg57sc2,38bXpAgV6fqNc5tEBQZow8kco3WAXKdeDq,16DuFb8jsppNcS3oWhWW8XwRFenFkdE9uM,4.28483896,0.4092875,3.87495508,9.467562727911309 : 1,2017-07-14 11:38,59638,P2PKH,,,,,,,,,,,,
1BfsNi9tiTyBe6DRYKUSsLnMDJuXd8VYHZ,1DccQFXTSV9i9tBQosHsmnvxokGLqu4Sd3,17qxS2jxx9EnD66RQWx4xN9RHoC4uSKw2R,10.69712945,0.02015886,10.67671295,529.6288058947778 : 1,2017-07-30 15:28,25764,P2PKH,,,,,,,,,,,,
1BpbLqxBD5rHS2tnrZ8TKzTWCtZWUSLFeh,33Kg45SC6327XxmJG3rNzEUtw8xgR2kkWy,1GWe3kAXhbZurt3UTFEwhiKcpiAFQV3jGp,1.92130342,0.73996097,1.18085219,1.5958303719721865 : 1,2017-07-19 10:49,49026,P2PKH,,,,,,,,,,,,
1MX6jbuTmXAs79q2oNVhp4vLNJ3EEHEGZe,17jKMc2oLebv9ZFrkhGB3xSzcpUkN67RMK,1ANwW5Qg3gF8QgYPChtLDpsbwk7KYawKr7,468.9266403,0.0222658,468.9038095,21059.3739946465 : 1,2017-08-13 21:37,56500,P2PKH,,,,,,,,,,,,
19r2Zzih3fwiPVwthcdc8ZE4YHTn2GU41s,1FMWaDYKSvggEzDVw9fif8RpMwAADj2ta,1PmA2y8RWNP9ggYW8NWBEmYoH8hAP1iSPW,1.92674928,0.76686944,1.15927813,1.5117020832124957 : 1,2017-07-14 12:11,60171,P2PKH,,,,,,,,,,,,
1C4JWJXNkXtk8nsWP6MMs3YLC3E4urQkM7,1PTsWWnLyz1fD5H1WJi4vmdaKsojgVG7RD,19u5v5ce9Nr166j8RKZhN5V1b72pXFv3zk,3.82010368,0.28650179,3.53294049,12.331303375102824 : 1,2017-06-20 18:00,66140,P2PKH,,,,,,,,,,,,
15vMYhvsEv7Pwa8mEyYFvgYUYAXLeGYeFN,1KNGQKia8GcwwkxAbEzUetn7mxoW4Uecw3,1BxaF4zGvs7fUyKKAmcA7Q5Rj3B38ssw7A,2.1643,0.34946663,1.81428927,5.191595174623683 : 1,2017-07-16 18:36,54410,P2PKH,,,,,,,,,,,,
1FouZFoG2gv1BVQfUeGSaP28ZPz3EGgecG,1DXK1YvMFfc3BWxv8xzDWjJWKFqLH5Yutp,14k1g5JzPKbLpDzCwtMnoD4feqLE7pfhZn,5.98267418,0.3122248,5.67000053,18.159994113215863 : 1,2017-07-10 12:23,44885,P2PKH,,,,,,,,,,,,
12VYZGF8DkuFTD6iBURPtYvCXApcmzaQgo,31hj42nThKuu7ftkjio1cHYfAHwZjCuk1x,16pbg7MzVto8FKKpJQeLRwyb4qguVf7mqA,3.88929686,1.32117849,2.56739979,1.9432649028368603 : 1,2017-07-04 12:03,71858,P2PKH,,,,,,,,,,,,
1DLyxACKm7Ysg6gAuBjFuZxao5Mb1vzGJZ,31hj42nThKuu7ftkjio1cHYfAHwZjCuk1x,13gb4YAzYzwHvZF1BpiNqVWVWkJBgdNKzN,4.14222753,0.62204786,3.51946239,5.657864316099408 : 1,2017-07-02 21:23,71728,P2PKH,,,,,,,,,,,,
18mJJo2pxGbUJ2Q4wHXuLn1jE2jnaQ8gtr,1EdfqUoHrpjYwgTbLcu959HM2K9YVf3Q17,14BWYWRi4mLJcoT3CoRiMFdN2HcXsPhu3f,1.74631141,0.77974826,0.96589815,1.238730753948717 : 1,2017-07-06 21:50,66500,P2PKH,,,,,,,,,,,,
