inputAddr,outputAddr1,outputAddr2,inputBTC,outputBTC1,outputBTC2,peeling ratio,TxTime,Fee,Address Type
1EgYRFU7ACVPk5bV4FF8DhhUiK23Py9uxy,1BLwmaU5EZACqMwczcsaoS4oR8BCLx2cN6,1BCsnF2Ljs8xtxBeZZDqrsXGtDf4UwWuxJ,175.50762241,165.15760355,10.34945386,15.95809844501302 : 1,2017-08-15 07:49:37,56500,P2PKH
1EW1qeku3S214fg37uCYzivxnnvttYM5rh,1AC594ceAvYhzMj8EZgJT521nPeQy99NoR,1DUpbX2MvXXXRyoBarYN8KHDoDdtUMoC9y,499.16417427,496.51909307,2.6445162,187.7542263004477 : 1,2017-08-23 13:06:58,56500,P2PKH
17mYpUaWoi9ZpEpnbrCXgbaT1muFzmvsie,15MwVBpW2XtUjnheBPWQgGRpKvhoAmdEUp,13Azo31479grCxTPhczwfc8eG4CNWuK513,3.95256917,1.00865607,2.94311441,2.917857233536502 : 1,2017-06-26 20:16:41,79869,P2PKH
1Cuhk3uL8kTeetsn7bp5Xkammpt96hR18C,1CaPoe5FiEE6L91hei78bRz4fLWcrGcPJA,1CiZhB1QdJW5PYfyKzgpNu5vtxPm1M8mds,1.01261275,0.51193475,0.5,1.0238695 : 1,2017-09-02 17:01:08,67800,P2PKH
16uxka515oE67C2dd47cuwvZdLXw4Bu8xT,1LZcovunYtVa2NykMXpLUbz6nsxm7JZE77,15Q8jGLCBTmwbrh7EcXPkygXvZvS2KFwZA,0.50806555,0.19190849,0.31561295,1.6446012888747132 : 1,2017-07-16 22:15:01,54411,P2PKH
1LkqEyqp99bQGoryUgxUakuC6tfiKyTMuj,1PTsWWnLyz1fD5H1WJi4vmdaKsojgVG7RD,1CrY51Sd1kYQ4TVTnkTgZX7tCANvhMBXEN,1.83969323,0.09998812,1.7389062,17.391128066014243 : 1,2017-06-27 18:31:11,79891,P2PKH
1E9bMDF58kR4jAkgVnJ97tUYSG8hE1S63j,1DtWHE6JAKU5yBuUPvrYpvc8FbVh4anRE4,17kgyhcZVMMZKLHw34K4uBT1Up1s1pTkYc,1.57514423,0.06004563,1.51437569,25.22041470794794 : 1,2017-07-01 00:12:34,72291,P2PKH
18cZjN9EGYgb59h6PDCZj43cj3bko2Ba8a,12jLv2dScXBBXfs73aReFBUbHw4rgNQMJx,1LCgUwtGpyxQEUUeCUUYCxVQtdrFtRkNa4,42.57894356,0.64922395,41.92915461,64.58349943805985 : 1,2017-08-22 07:43:05,56500,P2PKH
17kS9v5x3s4QTCrazzWuvamp5EnUqiKVFE,1A9SmSeLjiF7Dxmo4q55F7G8GX78bGbJ3o,1KSPxEdhDaJZNT9niwvx4EQvuU66QH4V4k,0.4501995,0.32377118,0.12597632,2.5700955544661093 : 1,2017-08-15 23:24:53,45200,P2PKH
1co4qvmEPthbTCU2BMvCSLet5duc8rkkS,3NuyTVnDjHwpREUBuauynmhPLYwzxGBxEW,1Jj8Tw2A9pr1dvzyKRTUzbYMAzXcUYLqxW,3.96815949,1.84621748,2.12150068,1.1491065938775533 : 1,2017-07-10 19:45:37,44133,P2PKH
